"name","DNA_97_S38","DNA73_S32","DNA76_S35"
"Carltongylesvirus PYps23T",2,0,0
"Carltongylesvirus PYps3T",0,0,0
"Carltongylesvirus SA91KD",0,0,0
"Carltongylesvirus SKA49",0,0,0
"Carltongylesvirus ST32",0,0,0
"Carltongylesvirus flopper",0,0,0
"Carltongylesvirus mangalitsa",1,0,0
"Carmenvirus carmen17",0,0,0
"Caroctavirus CR8",0,0,0
"Carvajevirus carvaje",0,0,0
"Catfishvirus catfish",0,0,0
"Caulimovirus minutangelicae",0,0,0
"Caulimovirus tessellodahliae",0,0,0
"Caulimovirus tessellomirabilis",0,0,0
"Caulobacter virus Karma",0,0,0
"Cavemovirus collusipomeae",0,0,0
"Cavemovirus deltaepiphylli",0,0,0
"Cavevirus C121",0,0,0
"Cbastvirus ST",0,0,0
"Cbunavirus A41",0,0,0
"Cbunavirus CB1",0,0,0
"Cbunavirus CB4",0,0,0
"Cbunavirus Kc283",0,0,0
"Cbunavirus nepra",0,0,0
"Cbunavirus possum",0,0,0
"Cebadecemvirus phi10una",0,0,0
"Ceceduovirus assw",0,0,0
"Ceceduovirus aszj",0,0,0
"Ceceduovirus cc2",0,0,0
"Cecivirus IEBH",0,0,0
"Ceduovirus CHPC966",0,0,0
"Ceduovirus CHPC967",0,0,0
"Ceduovirus cv37203",0,0,0
"Ceduovirus cv5171F",0,0,0
"Ceetrepovirus darwin",0,0,0
"Cellubavirus phi19una",0,0,0
"Centapoxvirus microtuspox",1,2,1
"Centapoxvirus yokapox",0,0,0
"Centumtrigintavirus cv133",0,0,0
"Cepunavirus Cp1",0,0,0
"Cequinquevirus LLKu",0,0,0
"Ceratobasidium endornavirus A",0,0,0
"Certrevirus CR9",0,0,0
"Certrevirus PBES02",0,0,0
"Certrevirus phiTE",0,0,0
"Cervidpoxvirus muledeerpox",0,0,0
"Cetovirus ceto",0,0,0
"Chaedoavirus insecticola",0,0,0
"Chahsmivirus limivicinum",0,0,0
"Chakrabartyvirus pf16",0,0,0
"Chalconvirus acg2014i",1,0,0
"Changchunvirus W011D",0,3,0
"Changjiang astro-like virus",0,0,0
"Changjiang crawfish virus 4",0,0,0
"Changjiang crawfish virus 5",0,0,0
"Changjiang narna-like virus 2",0,0,0
"Changjiang narna-like virus 4",0,0,0
"Changjiang picorna-like virus 13",0,0,0
"Chaoshanvirus ZPAH34",0,0,0
"Chaovirus bigenum",0,0,0
"Chaoyangvirus BUCT49532",0,0,0
"Charybdisvirus scam3",0,1,0
"Charybnivirus charybdis",0,0,1
"Chatterjeevirus N4",0,0,0
"Chenonavirus Che9c",0,0,0
"Chenonavirus sbash",0,0,0
"Cheravirus ribis",0,0,0
"Cherry symptomless virus",0,0,0
"Cheungvirus NATL1A7",0,0,0
"Chipolycivirus hubeiense",0,0,0
"Chivirus chi",0,0,0
"Chloriridovirus aedes1",0,0,0
"Chloriridovirus anopheles1",0,0,0
"Chloriridovirus simulium1",0,0,0
"Chloriridovirus simulium2",0,0,1
"Chloriridovirus wiseana1",0,0,0
"Chlorovirus americanus",0,0,0
"Chlorovirus conductrix",0,1,0
"Chlorovirus vanettense",0,0,0
"Chosvirus KM23C739",0,0,0
"Chrysochromulina ericina virus",0,1,0
"Chrysochromulina parva virus",0,0,0
"Chrysonvirus as5",0,0,0
"Chuhaivirus simiae",0,0,0
"Chunghsingvirus P1201",0,0,0
"Cicadellivirus scaphoidei",0,0,0
"Cimandefvirus cimandef",0,0,0
"Cinqassovirus ah1",0,0,0
"Cinvestavvirus PaMx74",0,0,0
"Circovirus lepakko",0,0,0
"Circovirus naaleeli",0,0,0
"Circovirus-like genome DCCV-7",0,0,0
"Citrivirus citri",0,0,0
"Citrovirus coptotermitis",0,0,0
"Citrus endogenous pararetrovirus",0,0,0
"Claudivirus serpounce",0,0,0
"Claudivirus stitch",0,0,0
"Clawzvirus clawz",0,0,0
"Closterovirus flavicarotae",0,2,0
"Closterovirus vitis",0,0,0
"Clownvirus clown",0,0,0
"Coccolithovirus huxleyi",0,0,0
"Coetzeevirus JL1",0,0,0
"Cohcovirus hiberniae",0,0,0
"Colossusvirus PW",0,0,0
"Colossusvirus colossus",0,0,0
"Coltivirus kundalense",0,0,0
"Coltivirus tarumizuense",0,0,0
"Comovirus cucurbitae",2,0,0
"Copernicusvirus Efae230P4",0,0,0
"Copernicusvirus IME195",0,0,0
"Coralvirus coral",0,0,0
"Cordoba virus",0,0,3
"Corndogvirus ryadel",0,0,1
"Cornellvirus GRNsp27",0,0,0
"Cornellvirus SE1",0,0,0
"Cornellvirus SP31",0,0,2
"Cornellvirus St162",0,0,5
"Cornellvirus VSiP",0,0,7
"Cornellvirus shemara",0,0,4
"Cotonvirus japonicum",0,0,0
"Coventryvirus SP120",0,0,0
"Crabreovirus callinectes",0,0,0
"Cragig virus 1",0,0,0
"Craquatrovirus PSTCR4",0,0,0
"Crifsvirus A24",2,0,5
"Crifsvirus GAP52",1,0,8
"Crinivirus ipomeae",0,0,0
"Crinivirus lactucachlorosi",0,0,0
"Cripavirus NB-1/2011/HUN",2,2,0
"Cripavirus drosophilae",0,0,0
"Cripavirus grylli",15,0,0
"Cripavirus mortiferum",3,0,1
"Cripavirus ropadi",0,0,0
"Cronosvirus DevCD23823",1,0,0
"Cronosvirus GAP227",4,0,0
"Cronusvirus cronus",0,0,0
"Cuauhnahuacvirus Y65",0,0,0
"Cucumovirus PSV",0,0,0
"Cucurbit chlorotic yellows virus",0,0,0
"Cukevirus cuke",0,0,0
"Culex Iflavi-like virus 1",0,0,0
"Culex Iflavi-like virus 4",0,0,0
"Culex flavivirus",0,0,0
"Culex negev-like virus 3",133,0,0
"Culex pipiens-associated Tunisia virus",0,0,0
"Culex theileri flavivirus",0,0,0
"Culicidavirus imjinense",0,0,0
"Culoivirus americanus",0,0,0
"Culoivirus faecalis",0,0,0
"Cyamitesvirus I16",0,0,0
"Cyclovirus manitan",0,0,0
"Cyclovirus nietoperz",0,0,2
"Cyclovirus sawya",0,0,0
"Cyclovirus taniilai",0,0,0
"Cyclovirus totoi",0,0,0
"Cymopoleiavirus swam2",0,0,0
"Cynomolgus cytomegalovirus",0,0,0
"Cypovirus altineae",0,0,0
"Cypovirus choristoneurae",0,0,0
"Cypovirus trichoplusiae",0,0,0
"Cytomegalovirus cercopithecinebeta5",0,0,0
"Cytomegalovirus humanbeta5",0,0,0
"Cytomegalovirus macacinebeta3",0,0,0
"Cytomegalovirus macacinebeta8",0,0,0
"Cytomegalovirus mandrillinebeta1",1,0,0
"Cytomegalovirus paninebeta2",0,0,0
"Cytomegalovirus saimiriinebeta4",0,0,0
"Cyvirus anguillidallo1",0,0,0
"Cyvirus cyprinidallo1",4,9,5
"Cyvirus cyprinidallo2",0,0,0
"Cyvirus cyprinidallo3",0,0,0
"Dabirmavirus hominis",0,0,0
"Daemvirus acibel007",0,0,0
"Damravirus dentatis",0,0,0
"Danaus plexippus plexippus iteravirus",0,4,0
"Daphniairidovirus daphnia1",0,0,0
"Dardanusvirus dardanus",0,0,0
"Decapodiridovirus litopenaeus1",0,0,0
"Dechshavirus japanensis",0,0,0
"Delislevirus P1",0,0,0
"Delmidovirus copri",0,0,0
"Deltabaculovirus cunigripalpi",0,0,0
"Deltacoronavirus gallinulae",0,0,0
"Deltaentomopoxvirus msanguinipes",0,1,0
"Deltanudivirus tipoleraceae",0,0,0
"Deltapapillomavirus 5",0,1,0
"Deltapartitivirus fici",0,0,0
"Delusorvirus cascadiense",0,0,0
"Demosthenesvirus katyusha",0,0,0
"Dendoorenvirus RG2014",0,0,0
"Denisevirus denise",0,0,0
"Denvervirus dv9183",0,0,0
"Dependoparvovirus rodent2",0,0,0
"Deseoctovirus C1",0,0,0
"Desmodus rotundus endogenous retrovirus",0,0,0
"Dhakavirus JS10",0,0,0
"Dhakavirus JS98",0,0,0
"Dhakavirus anyang",0,0,0
"Dhakavirus bp7",0,0,0
"Dhakavirus ime08",1,0,0
"Dhakavirus ime281",0,0,0
"Dhakavirus ime348",0,2,0
"Dhakavirus vr5",0,0,0
"Dhillonvirus EC115",0,0,0
"Dhillonvirus paulfeyerabend",0,0,0
"Diamondback moth iflavirus",0,0,0
"Diatom colony associated dsRNA virus 5",0,0,0
"Dill cryptic virus 1",0,0,0
"Dilongvirus PHB09",0,0,0
"Dilzevirus borborohabitans",0,0,0
"Diorhovirus intestinalis",0,0,0
"Dishui lake phycodnavirus 1",0,0,0
"Dolusvirus shimokitaense",0,0,0
"Donellivirus gee",0,0,0
"Dongdastvirus Axy12",0,0,0
"Douglaswolinvirus B2",0,0,0
"Dpdavirus caudatum",0,0,0
"Dragonfly associated cyclovirus",0,0,0
"Drivevirus gastrointestinalis",0,0,0
"Drulisvirus K244",0,0,0
"Drulisvirus KPRio2015",0,0,0
"Drulisvirus KPV811",0,0,1
"Drulisvirus Kp2",0,0,0
"Drulisvirus KpV71",0,0,0
"Drulisvirus SU503",0,0,0
"Drulisvirus altogao",0,0,0
"Drulisvirus myPSH1235",0,0,0
"Duamitovirus scsc6",0,0,0
"Duck astrovirus GII.A",0,0,0
"Duwamo virus",0,0,0
"Dybvigvirus Av1",0,0,0
